CRASH DATETIME,DAY OF WEEK CODE,DAY OF WEEK DESCRIPTION,CRASH CLASSIFICATION CODE,CRASH CLASSIFICATION DESCRIPTION,COLLISION ON PRIVATE PROPERTY,PEDESTRIAN INVOLVED,MANNER OF IMPACT CODE,MANNER OF IMPACT DESCRIPTION,ALCOHOL INVOLVED,DRUG INVOLVED,ROAD SURFACE CODE,ROAD SURFACE DESCRIPTION,LIGHTING CONDITION CODE,LIGHTING CONDITION DESCRIPTION,WEATHER 1 CODE,WEATHER 1 DESCRIPTION,WEATHER 2 CODE,WEATHER 2 DESCRIPTION,SEATBELT USED,MOTORCYCLE INVOLVED,MOTORCYCLE HELMET USED,BICYCLED INVOLVED,BICYCLE HELMET USED,LATITUDE,LONGITUDE,PRIMARY CONTRIBUTING CIRCUMSTANCE CODE,PRIMARY CONTRIBUTING CIRCUMSTANCE DESCRIPTION,SCHOOL BUS INVOLVED CODE,SCHOOL BUS INVOLVED DESCRIPTION,WORK ZONE,WORK ZONE LOCATION CODE,WORK ZONE LOCATION DESCRIPTION,WORK ZONE TYPE CODE,WORK ZONE TYPE DESCRIPTION,WORKERS PRESENT,the_geom,COUNTY CODE,COUNTY NAME,YEAR
2009 Sep 30 07:25:00 PM,4,Wednesday,2,Property Damage Only,N,N,5,"Sideswipe, opposite direction",N,N,1,Dry,1,Daylight,2,Cloudy,,,Y,N,N,N,N,39.7915437,-75.5466422,,,0,No,N,,,,,N,POINT (-75.54664219959 39.791543700034),N,New Castle,2009
2013 Jan 19 05:45:00 PM,7,Saturday,2,Property Damage Only,N,N,3,Angle,N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,39.78253,-75.4737,7,Improper lane change,0,No,N,,,,,N,POINT (-75.473700000141 39.782530000054),N,New Castle,2013
2013 Oct 12 02:55:00 PM,7,Saturday,1,Non-Reportable,Y,N,99,Unknown,N,N,2,Wet,5,Dark-Not Lighted,4,Rain,,,N,N,N,N,N,38.4535,-75.06601,99,Unknown,0,No,N,,,,,N,POINT (-75.066010000155 38.453499999988),S,Sussex,2013
2015 May 05 10:00:00 AM,3,Tuesday,2,Property Damage Only,N,N,99,Unknown,N,N,99,Unknown,5,Dark-Not Lighted,99,Unknown,,,N,N,N,N,N,39.72857,-75.59447,99,Unknown,0,No,N,,,,,N,POINT (-75.594470000113 39.728570000211),N,New Castle,2015
2009 Oct 12 05:24:00 PM,2,Monday,3,Personal Injury Crash,N,N,4,"Sideswipe, same direction",N,N,1,Dry,1,Daylight,2,Cloudy,,,Y,N,N,N,N,39.7560845,-75.4943312,,,0,No,N,,,,,N,POINT (-75.494331200335 39.756084500059),N,New Castle,2009
2012 Jul 02 10:35:00 AM,2,Monday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,39.67546,-75.65496,11,"Driver inattention, distraction, or fatigue",0,No,N,,,,,N,POINT (-75.65496000013 39.675459999922),N,New Castle,2012
2012 Apr 15 06:48:00 PM,1,Sunday,1,Non-Reportable,N,N,3,Angle,N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,38.73166,-75.13387,7,Improper lane change,0,No,N,,,,,N,POINT (-75.133869999748 38.731659999921),S,Sussex,2012
2013 Aug 20 12:17:00 AM,2,Monday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,4,Dark-Lighted,1,Clear,1,Clear,Y,N,N,N,N,38.74401,-75.15475,99,Unknown,0,No,N,,,,,N,POINT (-75.154750000038 38.744010000047),S,Sussex,2013
2012 Aug 17 01:08:00 AM,5,Thursday,1,Non-Reportable,Y,N,99,Unknown,N,N,1,Dry,99,Unknown,1,Clear,,,Y,N,N,N,N,39.60231,-75.74555,99,Unknown,0,No,N,,,,,N,POINT (-75.745550000391 39.602310000157),N,New Castle,2012
2011 Jun 01 12:08:00 PM,4,Wednesday,1,Non-Reportable,N,N,88,Other,N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,39.7882,-75.5462,88,Other,0,No,N,,,,,N,POINT (-75.546200000298 39.788200000309),N,New Castle,2011
2009 Aug 25 08:14:00 PM,3,Tuesday,2,Property Damage Only,N,N,1,Front to rear,N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,39.6886346,-75.6756454,,,0,No,N,,,,,N,POINT (-75.675645400177 39.688634599787),N,New Castle,2009
2011 May 31 09:16:00 PM,3,Tuesday,3,Personal Injury Crash,N,Y,88,Other,N,N,1,Dry,1,Daylight,1,Clear,,,Y,N,N,N,N,39.75566,-75.53319,88,Other,0,No,N,,,,,N,POINT (-75.533190000076 39.755659999904),N,New Castle,2011
