Document Nbr,Crash Date,Crash Year,Crash Military Time,Crash Severity,K_People,A_People,B_People,C_People,Collision Type,Weather Condition,Light Condition,Roadway Surface Condition,Roadway Alignment,Roadway Description,Intersection Type,RTE Name,SYSTEM,Node,RNS MP,x,y,Physical Juris Name,Pedestrian?,Bike?,Alcohol?,Speed?,Hitrun?,Motorcycle?,Night?,Distracted?,Drowsy?,Drug Related?,Young?,Senior?,Unrestrained?,School Zone,Work Zone Related,Traffic Control Type,Traffic Control Status,Functional Class,Area Type,Facility Type,Ownership,First Harmful Event,First Harmful Event Loc,Persons Injured,Pedestrians Killed,Pedestrians Injured,_source_state,_co_system_code,_co_agency_id,_co_rd_number,_co_location1,_co_location2,_co_city,_source_file
1261248,1/4/2025,2025,1810,O,0,0,0,0,Rear End,Clear,Dark – Lighted,Icy,Straight/Level,Intersection Related,Intersection,S BROADWAY,Primary,C-470 EB RAMPS & S BROADWAY,0.027,-104.960379,39.563585,DOUGLAS,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,,,,,,,Front to Rear,On Roadway,0,,,colorado,State Highway,CSP,177A,S BROADWAY,C-470 EB RAMPS,,crashlens_u5p9stw5.csv
1266283,1/4/2025,2025,1905,O,0,0,0,0,Rear End,Fog,Dark – Lighted,Dry,Uphill,At Intersection,Intersection,YOSEMITE ST,NonVDOT secondary,HERITAGE HILLS PKWY & YOSEMITE ST,,-104.885582,39.546767,DOUGLAS,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,,,,,,,Front to Rear,On Roadway,0,,,colorado,City Street,LNTRPD,0817,YOSEMITE ST,HERITAGE HILLS PKWY,LONE TREE,crashlens_u5p9stw5.csv
1260350,1/4/2025,2025,2100,O,0,0,0,0,Fixed Object - Off Road,Fog,Dark – Unlighted,Icy,"Curve Left, Uphill",Non-Intersection,Non-Intersection,HWY 67,NonVDOT secondary,,,-105.105216,39.372022,DOUGLAS,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,,Tree,Ran off right side,0,,,colorado,County Road,DSO,4700,HWY 67,N RAMPART RANGE RD,,crashlens_u5p9stw5.csv
1379495,1/5/2025,2025,0205,A,0,1,1,0,Fixed Object - Off Road,Snow,Dark – Unlighted,Snowy,"Curve Right, Downhill",Non-Intersection,Non-Intersection,I-25,Interstate,,185.980,-104.8786,39.43702,DOUGLAS,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,,,,,,,Concrete Highway Barrier,Center median/ Island,2,,,colorado,Interstate Highway,CSP,025A,I-25 SB,MM 185.980,,crashlens_u5p9stw5.csv
1268885,1/5/2025,2025,0206,O,0,0,0,0,Fixed Object - Off Road,Fog,Dark – Unlighted,Icy,"Curve Left, Downhill",Non-Intersection,Non-Intersection,I-25,Interstate,,190.560,-104.87436,39.50212,DOUGLAS,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,,,,,,,Concrete Highway Barrier,Ran off left side,0,,,colorado,Interstate Highway,CSP,025A,I-25,MM 190.560,,crashlens_u5p9stw5.csv
1260365,1/5/2025,2025,0636,O,0,0,0,0,Fixed Object - Off Road,Clear,Dawn or Dusk,Icy,Downhill,At Intersection,Intersection,S WILLOW CREEK ST,NonVDOT secondary,PRAIRIE RIDGE RD & S WILLOW CREEK ST,,-104.97882,39.56125,DOUGLAS,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,,,,,,Traffic Signal Pole,Ran off right side,0,,,colorado,County Road,DSO,4700,S WILLOW CREEK ST,PRAIRIE RIDGE RD,,crashlens_u5p9stw5.csv
1263143,1/5/2025,2025,0845,O,0,0,0,0,Rear End,Clear,Daylight,Icy,Downhill,Ramp,Ramp,C-470 WB OFF RAMP,Primary,,21.090,-104.9601,39.563711,DOUGLAS,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,,,,,,,Front to Rear,On Roadway,0,,,colorado,State Highway,CSP,470A,C-470 WB OFF RAMP,S UNIVERSITY BLVD,,crashlens_u5p9stw5.csv
1260001,1/5/2025,2025,0947,O,0,0,0,0,Rear End,Clear,Daylight,Dry,Straight/Level,Intersection Related,Intersection,E WILDCAT RESERVE PKWY,NonVDOT secondary,E WILDCAT RESERVE PKWY & S UNIVERSITY BLVD,,-104.935386,39.542512,DOUGLAS,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,,,,,,,Front to Rear,On Roadway,0,,,colorado,County Road,DSO,4700,E WILDCAT RESERVE PKWY,S UNIVERSITY BLVD,,crashlens_u5p9stw5.csv
1264846,1/5/2025,2025,1156,O,0,0,0,0,Sideswipe - Same Direction,Clear,Daylight,Dry,Curve Left,At Intersection,Intersection,I-25,Interstate,I-25 SB OFF RAMP & LINCOLN AVE,192.994,-104.870368,39.536301,DOUGLAS,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,Side to Side-Same Direction,On Roadway,0,,,colorado,Interstate Highway,LNTRPD,025A,I-25 SB OFF RAMP,LINCOLN AVE,LONE TREE,crashlens_u5p9stw5.csv
1266304,1/5/2025,2025,1314,O,0,0,0,0,Rear End,Clear,Daylight,Dry,Straight/Level,At Intersection,Intersection,COUNTY LINE RD,NonVDOT secondary,COUNTY LINE RD & PARK MEADOWS CENTER DR,,-105.028635,39.56612,DOUGLAS,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,,,,,,Front to Rear,On Roadway,0,,,colorado,City Street,LNTRPD,0817,COUNTY LINE RD,PARK MEADOWS CENTER DR,LONE TREE,crashlens_u5p9stw5.csv
