CRASH DATETIME,DAY OF WEEK CODE,DAY OF WEEK DESCRIPTION,CRASH CLASSIFICATION CODE,CRASH CLASSIFICATION DESCRIPTION,COLLISION ON PRIVATE PROPERTY,PEDESTRIAN INVOLVED,MANNER OF IMPACT CODE,MANNER OF IMPACT DESCRIPTION,ALCOHOL INVOLVED,DRUG INVOLVED,ROAD SURFACE CODE,ROAD SURFACE DESCRIPTION,LIGHTING CONDITION CODE,LIGHTING CONDITION DESCRIPTION,WEATHER 1 CODE,WEATHER 1 DESCRIPTION,WEATHER 2 CODE,WEATHER 2 DESCRIPTION,SEATBELT USED,MOTORCYCLE INVOLVED,MOTORCYCLE HELMET USED,BICYCLED INVOLVED,BICYCLE HELMET USED,LATITUDE,LONGITUDE,PRIMARY CONTRIBUTING CIRCUMSTANCE CODE,PRIMARY CONTRIBUTING CIRCUMSTANCE DESCRIPTION,SCHOOL BUS INVOLVED CODE,SCHOOL BUS INVOLVED DESCRIPTION,WORK ZONE,WORK ZONE LOCATION CODE,WORK ZONE LOCATION DESCRIPTION,WORK ZONE TYPE CODE,WORK ZONE TYPE DESCRIPTION,WORKERS PRESENT,the_geom,COUNTY CODE,COUNTY NAME,YEAR
2010 Dec 21 06:15:00 AM,3,Tuesday,1,Non-Reportable,N,N,3,Angle,N,N,1,Dry,4,Dark-Lighted,1,Clear,NA,NA,Y,N,N,N,N,39.68577,-75.74609,2,Failed to yield right of way,0,No,N,NA,NA,NA,NA,N,POINT (-75.746090000166 39.685769999672),N,New Castle,"2,010"
2012 Nov 29 05:49:00 PM,5,Thursday,1,Non-Reportable,N,N,88,Other,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.65627,-75.65115,20,"Roadway circumstances - debris, holes, work zone,",0,No,N,NA,NA,NA,NA,N,POINT (-75.65114999977 39.656270000119),N,New Castle,"2,012"
2014 Feb 08 03:37:00 PM,7,Saturday,4,Fatality Crash,N,N,3,Angle,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,38.53748,-75.14948,3,Passed Stop Sign,0,No,N,NA,NA,NA,NA,N,POINT (-75.149480000186 38.537480000139),S,Sussex,"2,014"
2010 Oct 27 10:08:00 AM,4,Wednesday,3,Personal Injury Crash,N,N,1,Front to rear,N,N,2,Wet,5,Dark-Not Lighted,4,Rain,NA,NA,Y,N,N,N,N,39.72086,-75.65505,2,Failed to yield right of way,0,No,N,NA,NA,NA,NA,N,POINT (-75.655049999644 39.720859999695),N,New Castle,"2,010"
2015 Mar 12 07:16:00 PM,5,Thursday,3,Personal Injury Crash,N,N,3,Angle,N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.69032,-75.5816,2,Failed to yield right of way,0,No,N,NA,NA,NA,NA,N,POINT (-75.581599999633 39.690320000105),N,New Castle,"2,015"
2009 Mar 23 07:21:00 PM,2,Monday,2,Property Damage Only,N,N,4,"Sideswipe, same direction",N,N,1,Dry,1,Daylight,1,Clear,NA,NA,Y,N,N,N,N,39.7215156,-75.6559624,NA,NA,0,No,N,NA,NA,NA,NA,N,POINT (-75.655962399613 39.721515599699),N,New Castle,"2,009"
2009 May 03 08:40:00 PM,1,Sunday,3,Personal Injury Crash,N,N,1,Front to rear,N,N,2,Wet,1,Daylight,4,Rain,NA,NA,Y,N,N,N,N,39.587787,-75.7403819,NA,NA,0,No,N,NA,NA,NA,NA,N,POINT (-75.740381900035 39.587787000319),N,New Castle,"2,009"
2009 Apr 14 05:35:00 PM,3,Tuesday,2,Property Damage Only,N,N,5,"Sideswipe, opposite direction",N,N,2,Wet,1,Daylight,4,Rain,NA,NA,Y,N,N,N,N,39.7995134,-75.5401413,NA,NA,0,No,N,NA,NA,NA,NA,N,POINT (-75.540141300288 39.799513399695),N,New Castle,"2,009"
2012 Jan 12 09:29:00 AM,5,Thursday,2,Property Damage Only,N,N,0,Not a collision between two vehicles,N,N,2,Wet,5,Dark-Not Lighted,4,Rain,NA,NA,Y,N,N,N,N,39.79342,-75.48968,18,Animal in Roadway - Other Animal,0,No,N,NA,NA,NA,NA,N,POINT (-75.489679999576 39.793419999679),N,New Castle,"2,012"
2010 Jun 05 09:30:00 PM,7,Saturday,2,Property Damage Only,N,N,2,Front to front,N,N,1,Dry,1,Daylight,2,Cloudy,NA,NA,Y,N,N,N,N,39.6857,-75.61117,9,Made improper turn,0,No,N,NA,NA,NA,NA,N,POINT (-75.611170000147 39.685700000078),N,New Castle,"2,010"
